,index,Book,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Author,Image,Year,Description,Buy,max_val,max_col
10,10,B is for Bedpost,0.0,0.0832565575838089,0.0,0.0,0.5313844680786133,0.22979973256587982,0.10508675873279572,0.0,0.0,0.0,0.0,0.0,0.0,0.049866750836372375,0.0,0.0,0.0,0.0,0.0,0.0,Lena Hart,https://m.media-amazon.com/images/I/8108g10CuCL._AC_UY218_.jpg,2015.0,"Newly engaged couple Athena Lewis and David Carrone are off to celebrate the best way they know howin bed someplace far from the glittering lights of Las Vegas. They arrive on a private island where pleasure, fun, and relaxation awaitsor so they believe. When they are invited to the island's most exclusive club, they soon discover that the ""Mansion"" is no ordinary nightclub. Luckily, David and Tena are no ordinary couple. Looking to add more excitement to their relationship, they take the opportunity to explore their secret desires and hidden cravings. But during their passionate exploration, the matter of trust resurfaces as painful memories from Tena's past returns, pushing them further from each other and threatening to sever their special bond. **Note: this short story is a continuation of the novel, HIS BEDPOST QUEEN. Both stories, however, can be read as standalones.",https://www.amazon.com/Bedpost-Queen-Quartette-Book-ebook/dp/B00TU02KYA/ref=sr_1_1?dchild=1&keywords=B+is+for+Bedpost+lena+hart&qid=1615770919&s=books&sr=1-1,0.5313844680786133,4.0
11,11,Something Old,0.12624143064022064,0.2357010543346405,0.0,0.0,0.14591553807258606,0.23611491918563843,0.11475372314453125,0.0,0.0,0.0,0.0,0.0,0.024764666333794594,0.0,0.029690220952033997,0.032905690371990204,0.03052533231675625,0.021981913596391678,0.0,0.0,Lena Hart,https://m.media-amazon.com/images/I/71+J-0k9KeL._AC_UY218_.jpg,2016.0,"Jilted by the one woman he's ever loved, small town sheriff Guy Lawson vows never to let himself be so vulnerable. But when the woman who broke his heart returns to Cedar Bend, he is forced to uphold an old promise he made long ago... After two years of running from her father's death, Zamya ""Mya"" Daniels is ready to win back the man she loves. Except Guy doesn't believe in second chances. When Mya sets out to repair their broken relationship, Guy's guarded heart is helpless against his body's desires. Will their old bond be enough to save their loveor will they come to accept that some things just aren't meant to last?",https://www.amazon.com/Something-Brides-Cedar-Bend-Book-ebook/dp/B01CN80MJ0/ref=sr_1_1?dchild=1&keywords=Something+Old+lena+hart&qid=1615770976&s=books&sr=1-1,0.23611491918563843,5.0
12,12,With Your Permission,0.0,0.09130952507257462,0.0,0.0,0.8487234711647034,0.0,0.0,0.0,0.0,0.0219209436327219,0.0,0.0,0.0,0.021353917196393013,0.0,0.0,0.0,0.0,0.0,0.0,Stephanie Nicole Norris,https://m.media-amazon.com/images/I/81bYg4ek+7L._AC_UY218_.jpg,2019.0,"It was their first encounter that landed them in newfound territory. Up and coming wedding planner Bri St. James is in the height of her career. As the CEO of Building Bridges LLC, Bri is driven by determination for success, and each day makes for new opportunities abound. However, while planning the wedding of one of Chicago's hottest couples, Bri's focus is shifted when the strum of a nocturnal voice captures her attention. Being an empath has empowered her sense of compassion for others, so she's not only drawn to him because of his broken heart but also from a fierce attraction that sparks her interest and tap dances on a groove on her heart. Getting involved with someone who's not open to love may prove to be the most difficult road Bri has ever journeyed, but she's unable to stop herself from falling into an irresistible tango of love. World-renowned photographer Raphael Valentine hasn't been in the public eye since the tragic death of his fiance four years prior. To date, his time is spent helping his charity of choiceeducating the community about the dangers of driving while intoxicated. For him, love is a thing of the past until meeting Bri St. James at his brother's rehearsal dinner made Raphael question what he'd always believed to be true. There was no explanation for the riot of pulsing sensations that ripped through his core when his eyes met hers. The unquenchable heat that followed stirred his soul, sending his heart on a quest he himself hadn't agreed to venture on. As a friendship between the two flourishes, and they're cloaked in a dynamic surge of desire, Raphael is met with the ultimate challenge: surrender to a second chance at love or abandon his happily ever after for a lifetime.",https://www.amazon.com/Your-Permission-Heart-Valentine-Book-ebook/dp/B07MWH6HFJ/ref=sr_1_1?dchild=1&keywords=With+Your+Permission&qid=1615771039&s=books&sr=1-1,0.8487234711647034,4.0
13,13,Just One More Time,0.02688528597354889,0.24586887657642365,0.0,0.0,0.08908489346504211,0.0,0.25699102878570557,0.0,0.0,0.0,0.0,0.0,0.06178610399365425,0.04920787736773491,0.021636581048369408,0.13675709068775177,0.0,0.11115951091051102,0.0,0.0,Rilzy Adams,https://m.media-amazon.com/images/I/81LJTT96JxL._AC_UY218_.jpg,2018.0,"When Orlando Johnson walked out on Katrina Bolton nearly a decade ago, he swore to anyone who would listen that he would never regret it. Now fate has tossed them back together in the form of a little boy who needs their love and protection and Orlando realizes leaving Kat was the worst mistake of his life. Orlando is determined to get her back, but can he convince her to let them try their hand at love just one more time?",https://www.amazon.com/Just-More-Time-Falling-Johnson-ebook/dp/B07K2RJF6G/ref=sr_1_1?dchild=1&keywords=Just+One+More+Time+rilzy+adams&qid=1615771123&s=books&sr=1-1,0.25699102878570557,6.0
14,14,Let Me Hold You,0.0,0.06991202384233475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4306236803531647,0.0,0.0,0.040218647569417953,0.08000002801418304,0.011528749950230122,0.362262099981308,0.0,0.0,0.0,0.0,Alexandria House,https://m.media-amazon.com/images/I/91CMQ167npL._AC_UY218_.jpg,2018.0,"NBA player, Leland McClain, the baby of the McClain family, is tall, handsome, talented...and spoiled. He's a man who gets what he wants, and what he wants is the lovely Kimberly Hampton. Kim Hampton is the director of a community center, a woman who lives to help others while trying to forget a troubling past. As far as she's concerned, a relationship with any man is a horrible idea. But a relationship with Leland McClain? That's just out of the question. He has to have her. She is undeniably attracted to him. But will she lower her guard and let him hold her?",https://www.amazon.com/Let-Hold-McClain-Brothers-Book-ebook/dp/B07DNP5XSW/ref=sr_1_2?dchild=1&keywords=Let+Me+Hold+You&qid=1615771175&s=books&sr=1-2,0.4306236803531647,9.0
15,15,A Marriage Worth Saving,0.0,0.010592764243483543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764052629470825,0.0,0.0,Therese Beharrie,https://m.media-amazon.com/images/I/81stHGenlFL._AC_UY218_.jpg,2017.0,"Never too late... Once, Mila Thomas had love, marriage and the promise of the family she'd always longed for, until tragedy struck. Now, with the ink still drying on her divorce papers, no matter how painful it is, it's time to move on... To begin again? Leaving Mila was the hardest thing Jordan's ever had to do. However, when fate brings them back together, he's reminded of what drew him to his beautiful wife in the first place, and he wonders if it's ever too late to try again?",https://www.amazon.com/Marriage-Worth-Saving-Harlequin-Romance-ebook/dp/B01MTMU9DJ/ref=sr_1_1?dchild=1&keywords=A+Marriage+Worth+Saving+Therese+Beharrie&qid=1615771312&s=books&sr=1-1,0.9764052629470825,17.0
16,16,The Rebel King,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958977699279785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kennedy Ryan,https://m.media-amazon.com/images/I/91F9hu31JML._AC_UY218_.jpg,2019.0,"Ambition. Revenge. Love. Raised to resist. Bred to fight. Survival is in my blood and surrender is never an option. Though surrender is what Maxim Cade demanded of my body and heart, I had other plans. We were fast-burning fascination and combustible chemistry, but the man I trusted with everything was a trickster. A thief who stole my love. If what we had was a lie, why did it feel so real? The man I swore to hate will have it all, and wants me at his side. But power is a game, and we're the pawns and players. Facing insurmountable odds, will we win the world, or will we lose it all?",https://www.amazon.com/Rebel-King-Kings-Duet-Book-ebook/dp/B07Z7BRNT7/ref=sr_1_3?dchild=1&keywords=The+Rebel+King+Kennedy+Ryan&qid=1615771361&s=books&sr=1-3,0.9958977699279785,10.0
17,17,Tempted by The Billionaire Next Door,0.0,0.05687113106250763,0.0,0.0,0.029353033751249313,0.0,0.08861451596021652,0.0,0.0,0.0,0.0,0.0,0.07024373859167099,0.0,0.0,0.0,0.0,0.7462987899780273,0.0,0.0,Therese Beharrie,https://m.media-amazon.com/images/I/81q5n7uyjiL._AC_UY218_.jpg,2018.0,"He's the one man who's off-limits... But could he be her Mr. Right? When Jessica Steyn learns her delicious new neighbor is actually her best friend's brother, billionaire bad boy Dylan Nel, she's torn. After all, she's just become his sister's surrogate! Acting on their attraction would complicate things, but they're soon growing closer. Overcoming Dylan's troubled family historyand Jessica's pregnancyseems impossible, but could the answer to their heartaches be just next door?",https://www.amazon.com/Tempted-Billionaire-Next-Harlequin-Romance-ebook/dp/B0776WXDPT/ref=sr_1_1?dchild=1&keywords=Tempted+by+The+Billionaire+Next+Door+Therese+Beharrie&qid=1615771454&s=books&sr=1-1,0.7462987899780273,17.0
18,18,King's Promise,0.0,0.010358890518546104,0.0,0.0,0.04228829964995384,0.0,0.03250744193792343,0.038484279066324234,0.0,0.06620809435844421,0.0,0.0,0.04088714346289635,0.7109822034835815,0.0,0.04267122223973274,0.0,0.0,0.0,0.0,Adrianne Byrd,https://m.media-amazon.com/images/I/513jNJ9q8EL._AC_UY218_.jpg,2011.0,"The sexy King brothers own a successful bachelor-party-planning business and a string of upscale clubs across the country. What could be better than living the single life in some of the world's most glamorous cities? Finding a woman worth giving it up for... A promise of ecstasy... Bartender Cheryl Shepherd has just done the unthinkableshe has shot down Xavier King. Repeatedly. Now the handsome club owner is on a mission to seduce her. And when he finally succeeds, he's blown away by their wild chemistry. For a notorious player, a sexy, confident woman like Cheryl is a risky proposition. Xavier has no idea how right he is. An undercover cop, Cheryl is really investigating alleged criminal activity in his club. Yet every time she's alone with her boss, Cheryl starts to lose her head along with all her inhibitions. But when the case grows dangerous, can Xavier be trusted with her heart...and her life?",https://www.amazon.com/Kings-Promise-House-Adrianne-Byrd-ebook/dp/B004Z2I54C/ref=sr_1_2?dchild=1&keywords=King%27s+Promise+Adrianne+Byrd&qid=1615771502&s=books&sr=1-2,0.7109822034835815,13.0
19,19,Taming of Jessi Rose,0.9005265831947327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09539031982421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beverly Jenkins,https://m.media-amazon.com/images/I/51YimlL9B0L._AC_UY218_.jpg,1999.0,"No Man Could Tame Her

Jessi Rose Clayton would do anything to keep the family ranch from falling into the wrong hands-even agree to take on a rough-and-tumble outlaw as her protector. With his rugged, handsome face and muscular bronze body, Griffin Blake can draw a sigh from a lady's lips almost as fast as his strong, sculpted arm can draw a gun from its holster. But Jessi Rose has no intentions of falling for his charms. No, her relationship with him is strictly business.

Until He Came Along

Robbing the railroad is Griffin Blake's game, but he has no choice. Either he agrees to help Jessi Rose or he gets sent back to jail-so he arrives at the ranch ready to help the ornery female protect her land. But underneath Jessi's all-business exterior is a femininity she's kept hidden for far too long-making Griffin think it might be time to tame this wild Texas rose.",https://www.amazon.com/Stepping-New-Day-Blessings-Novel-ebook/dp/B015MOJ95A/ref=sr_1_1?dchild=1&keywords=Stepping+to+a+New+Day&qid=1615769874&s=books&sr=1-1,0.9005265831947327,0.0
20,20,Measure of a Man,0.01956029050052166,0.026666026562452316,0.0,0.0,0.03490052744746208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029287608340382576,0.8321205377578735,0.03651247173547745,0.0,0.0,0.011198841035366058,0.0,0.0,Adrianne Byrd,https://m.media-amazon.com/images/I/81S7+4kGODL._AC_UY218_.jpg,2012.0,"Peyton's baby brother, Francis Adamsnicknamed Flexmeans the world to her. And when he decides to move from California to Atlanta after a bad breakup with his lover, the entire family is upset. The only consolation is the news that Flex has found a new man in fellow firefighter Lincoln Carver. Flex hasn't been entirely truthfulLincoln, who is straight, doesn't know the new firefighter is gay. And when fate brings Peyton and Lincoln together under unusual circumstances, sparks begin to fly. But when Lincoln is invited to a family wedding, will his relationship with Peyton be undermined once the truth is revealed?",https://www.amazon.com/Measure-Adams-Sisters-Adrianne-Byrd/dp/0373534841/ref=sr_1_1?dchild=1&keywords=Measure+of+a+Man+Adrianne+Byrd&qid=1615771619&s=books&sr=1-1,0.8321205377578735,13.0
21,21,Hook Shot,0.0,0.018810223788022995,0.0,0.0,0.0,0.0,0.0,0.3722394108772278,0.0,0.0,0.5433055758476257,0.0,0.0,0.0,0.0,0.05056558921933174,0.0,0.0,0.0,0.0,Kennedy Ryan,https://m.media-amazon.com/images/I/8172JvP4lJL._AC_UY218_.jpg,2019.0,"A deeply emotional standalone romance set in the worlds of professional basketball and high fashion.

Divorced. Single dad. Traded to a losing squad.
Cheated on, betrayed, exposed.
My perfect life blew up in my face and I'm still picking up the pieces.
The last thing I need is her.
A wildflower. A storm. A woman I can't resist.
Lotus DuPree is a kick to my gut and a wrench in my plans
from the moment our eyes meet.
I promised myself I wouldn't trust a woman again,
but I've never wanted anyone the way I want Lo.
She's not the plan I made, but she's the risk I have to take.

A warrior. A baller. The one they call Gladiator.
Kenan Ross charged into my life smelling all good, looking even better and snatching my breath from the moment we met.
The last thing I need is him.
I'm working on me. Facing my pain and conquering my demons.
I've seen what trusting a man gets you.
I. Don't. Have. Time. For. This.
But he just keeps coming for me.
Keeps knocking down my defenses and stealing my excuses
one by one.
He never gives up, and now...I'm not sure I want him to.",https://www.amazon.com/HOOK-SHOT-HOOPS-Book-3-ebook/dp/B07Q3ZD34K/ref=sr_1_1?dchild=1&keywords=Kennedy+Ryan+Hook+Shot&qid=1616005109&s=digital-text&sr=1-1,0.5433055758476257,10.0
22,22,Queen Move,0.0,0.0611952468752861,0.0,0.0,0.0,0.0,0.0,0.25941628217697144,0.0,0.0,0.5924603939056396,0.0,0.028828304260969162,0.0,0.0,0.046257298439741135,0.0,0.0,0.0,0.0,Kennedy Ryan,https://m.media-amazon.com/images/I/81wS9UWE+2L._AC_UY218_.jpg,2020.0,"The boy who always felt like mine is now the man I can't have...
 
 Dig a little and you'll find photos of me in the bathtub with Ezra Stern.
 Get your mind out of the gutter. We were six months old.
 Pry and one of us might confess we saved our first kiss for each other. The most clumsy, wet, sloppy . . . spectacular thirty seconds of my adolescence.
 Get into our business and you'll see two families, closer than blood, torn apart in an instant.
 Twenty years later, my ""awkward duckling"" best friend from childhood, the boy no one noticed, is a man no one can ignore.
 Finer. Fiercer. Smarter.
 Taken.
 Tell me it's wrong.
 Tell me the boy who always felt like mine is now the man I can't have.
 When we find each other again, everything stands in our way--secrets, lies, promises.
 But we didn't come this far to give up now.
 And I know just the move to make if I want to make him mine.",https://www.amazon.com/Queen-Move-All-Kings-Book-ebook/dp/B086R7S4GX/ref=sr_1_1?dchild=1&keywords=Queen+Move+Kennedy+Ryan&qid=1615771747&s=books&sr=1-1,0.5924603939056396,10.0
23,23,Places in My Heart,0.0,0.3882230818271637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22648030519485474,0.3275396525859833,0.025479136034846306,0.02552659809589386,0.0,0.0,0.0,0.0,Sheryl Lister,https://m.media-amazon.com/images/I/91Q9DyRfekL._AC_UY218_.jpg,2016.0,"He's got all the right moves
 
 Omar Drummond is a pro football superstar with a body that's a pure work of art. But Morgan Gray is forbidden to act on their chemistry, or repeat their impulsive kiss. Proving her worth as a sports agent means securing the notorious celebrity as a client, not a lover. Yet between flowers, sweet notes and heady hotel interludes, Omar is shamelessly seducing her...
 
 Other agentsand exeshave tried using Omar as a meal ticket, and he's closed himself off from emotional entanglements. With Morgan, it's a whole new playbook. Smart and tough, she can negotiate a contract and turn him on all in one go, and he craves more. But in matters of trust, he's just fumbled badly. To win her, he has to show her the man he can be away from the pitch and the limelight, and hope that this time they're both playing for keeps.",https://www.amazon.com/Places-Heart-Grays-Angeles-Book-ebook/dp/B01BBWA00K/ref=sr_1_1?dchild=1&keywords=Places+in+My+Heart+Sheryl+Lister&qid=1615771802&s=books&sr=1-1,0.3882230818271637,1.0
24,24,Will You Be Mine,0.02873055450618267,0.2945461571216583,0.0,0.0,0.09370068460702896,0.0,0.20819777250289917,0.0,0.0,0.0,0.0,0.0,0.014507623389363289,0.06429015100002289,0.0628734603524208,0.09266941994428635,0.0,0.13516539335250854,0.0,0.0,Rilzy Adams,https://m.media-amazon.com/images/I/81QFXoynDrL._AC_UY218_.jpg,2017.0,"JT Johnson has been in love with his best friend for as long as he can remember. Hallie, however, seems clueless or deliberately obtuse. When she asks him to pretend to be her boyfriend for her ex-best friend's wedding, JT hesitantly agrees. Will their escape to the Caribbean be Heaven or Hell in Paradise?",https://www.amazon.com/Will-Mine-Falling-Like-Johnson-ebook/dp/B07762C15M/ref=sr_1_1?dchild=1&keywords=Will+You+Be+Mine+Rilzy+Adams&qid=1615771852&s=books&sr=1-1,0.2945461571216583,1.0
